Seed,Subgroup,AUROC,ECE,Unc,N
42,Female,0.8178,0.0240,0.0820,873
42,Male,0.8367,0.0203,0.0800,1124
42,Younger,0.8427,0.0270,0.0738,995
42,Older,0.8234,0.0484,0.0879,1002
42,White,0.8430,0.0283,0.0857,1351
42,Black,0.7314,0.0245,0.0855,225
42,Hispanic,0.6719,0.0173,0.0385,70
42,Asian,0.8837,0.0553,0.0719,50
123,Female,0.7677,0.0138,0.0468,854
123,Male,0.7810,0.0106,0.0288,1143
123,Younger,0.7557,0.0229,0.0271,988
123,Older,0.7915,0.0331,0.0457,1009
123,White,0.7671,0.0115,0.0294,1312
123,Black,0.7395,0.0332,0.0345,237
123,Hispanic,0.8493,0.0418,0.2003,78
123,Asian,0.9822,0.0887,0.0274,50
456,Female,0.8020,0.0298,0.0401,847
456,Male,0.7702,0.0134,0.0329,1150
456,Younger,0.7887,0.0294,0.0351,955
456,Older,0.7848,0.0345,0.0368,1042
456,White,0.7913,0.0263,0.0329,1304
456,Black,0.7759,0.0277,0.0504,209
456,Hispanic,0.7433,0.0247,0.0465,77
456,Asian,0.9369,0.0386,0.0570,53
789,Female,0.7982,0.0350,0.0377,866
789,Male,0.8378,0.0463,0.0377,1131
789,Younger,0.8199,0.0419,0.0329,961
789,Older,0.8236,0.0428,0.0422,1036
789,White,0.8204,0.0414,0.0331,1273
789,Black,0.7899,0.0306,0.0526,218
789,Hispanic,0.8018,0.0812,0.0266,77
789,Asian,0.8820,0.0656,0.0357,79
101112,Female,0.7646,0.0144,0.0380,886
101112,Male,0.8248,0.0237,0.0301,1111
101112,Younger,0.7958,0.0239,0.0309,980
101112,Older,0.8028,0.0299,0.0362,1017
101112,White,0.8057,0.0172,0.0297,1302
101112,Black,0.7689,0.0148,0.0349,217
101112,Hispanic,0.8568,0.0463,0.0575,79
101112,Asian,0.7885,0.0584,0.0274,58
